date,position,track_id,track_name,artist,streams
2017-01-01,25,2IMODbij0lZ5CuAjZi0IDE,Sila,SUD,70631
2017-01-01,40,0YyM8aEdbjGfLWPn6fdcn7,Pasensya Ka Na,Silent Sanctuary,52955
2017-01-01,46,6NFKf8vBApSvtzkapYmnVR,Tadhana,Up Dharma Down,48330
2017-01-01,50,6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,39075
2017-01-01,51,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,39029
2017-01-01,59,5QVuf1MpdzFtFoJGwcKosa,Stay - On the Wings of Love Teleserye Theme,Daryl Ong,31290
2017-01-01,63,2XYb0tB6gqXObZqNsAoMYk,Paasa - T.A.N.G.A.,Yeng Constantino,28239
2017-01-01,66,01YEqVPCm0vqRLA9w43bic,Hanggang Kailan,Michael Pangilinan,26852
2017-01-01,73,2PcbtMoqOlGSzOfyJlkB06,Your Love - Dolce Amore Teleserye Theme,Juris,24585
2017-01-01,78,7sW3f7PqDV7BQ7qqeVBJIA,Migraine,Moonstar88,22840
2017-01-01,96,1MkiRsYBkXbXvdiYvTTiQT,Someday,Nina,18997
2017-01-01,98,6xQs6y6CpDqK9VKCktApEL,Hiling,Mark Carpio,18928
2017-01-01,99,6C2nrsOlb3jOUGcJAmPrTA,Tell Me Where It Hurts,MYMP,18925
2017-01-01,103,3VcVQmMivq2ISfKUmIuvMK,Rainbow,South Border,17547
2017-01-01,104,4ZgZPrrSLi4sIiFkiahuxq,Hanap-Hanap,James Reid,17529
2017-01-01,105,2S80c51YXgJQhkhX603fMA,Prinsesa,6cyclemind,17516
2017-01-01,110,39V6cEoNFwDFRJEOKyj4OR,Let Me Be the One,Julie Anne San Jose,17012
2017-01-01,113,2qqte0XT0eFFVLuNP7Qena,Paano Ba Ang Magmahal,Piolo Pascual,16486
2017-01-01,126,6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,14929
2017-01-01,147,0MqkYdGBzHx7lnaFvo7doR,Para Sa Akin,Sitti,13502
2017-01-01,154,37hmZirFpkUcMNlkf5i60r,O Pag-ibig,Bailey May,12734
2017-01-01,168,135ggzbjOogZ75IQ0LQi8r,Ang Huling El Bimbo,Eraserheads,12123
2017-01-01,171,14pj36HKHd6c72njvGVPWU,Pusong Ligaw,Jericho Rosales,11965
2017-01-01,177,0JzwzRDkwZr8s1WRfNgUqA,Till I Met You,Angeline Quinto,11649
2017-01-01,182,7vFv0yFGMJW3qVXbAd9BK9,Your Body Is a Wonderland,John Mayer,11564
2017-01-01,184,6lanRgr6wXibZr8KgzXxBl,A Thousand Years,Christina Perri,11491
2017-01-01,186,7DpfL3u92JKKTys5w7jfY7,Starting over Again,Toni Gonzaga,11386
2017-01-01,189,6CHpr3pY2MbJ5y1076UDnI,The Day You Said Goodnight - Acoustic Version,Hale,11341
2017-01-02,197,1qoXYfWILyuN0EatImGlma,"Nothing's Gonna Stop Us Now - From ""Crazy Beautiful You""",Morissette,13094
2017-01-03,179,628A1ThsViFrgjqgRAy4aa,Diwata,Abra,15111
2017-01-03,190,6Gn02ZC8juXwQ10Xk7ACXx,The Reason,Hoobastank,14628
2017-01-04,185,3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,15129
2017-01-04,196,5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,The Fray,14445
2017-01-06,183,0ecAxY4uqROZWKSUaRVCK7,"Hey Crush - From ""Vince & Kath & James""",Joshua Garcia,15312
2017-01-07,167,6c1MgHPPSxYnBCA2PbJEUN,Mahal Ko O Mahal Ako,KZ Tandingan,16002
2017-01-07,170,79yCQrawsilxU56g0UifKQ,Akin Ka Na Lang,The Company,15511
2017-01-07,186,5zMR44ZH4KVZj4FlhTj3SE,Magbalik,Callalily,14717
2017-01-07,193,6bMSUhAmaAGTb5RTTuzWE3,Simpleng Tao,Gloc 9,14218
2017-01-20,117,4ai7c2BUjNpElhZdZDH7qF,Dahil Sa'Yo,Inigo Pascual,22035
2017-01-31,146,5fJHoiDbRO8f7wkGL0kotY,"Pag-Ibig - From ""Dangwa""",Sponge Cola,19057
2017-02-01,189,1C3wg8sCIPqpNQx0wAL4DC,The Way You Look at Me,Christian Bautista,16054
2017-02-10,191,4OjORl39ULsmkJHOPbOOPJ,You,Jona,15360
2017-02-12,145,60LTEqwQF7J0mO093FPRdc,Does She Know,Kiana V,19132
2017-02-14,146,5K7AMlpc4796JRWXb26nCV,I'll Be,Edwin McCain,22790
2017-02-14,179,37f4ITSlgPX81ad2EvmVQr,Fight Song,Rachel Platten,18956
2017-02-14,182,66l54YRkk0mU2ECTdxJGqS,Bakit Pa Ba,Jay R,18532
2017-02-15,181,0zFYa7NIpKhmom8zrZx7Ga,Why Can't It Be,Kaye Cal,16793
2017-02-21,197,1FHCU1rDAeaPsBW9byjJ0Q,12:51,krissy & ericka,15970
2017-02-22,152,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,20239
2017-04-20,196,4ub59HeXqdYApJtkJqnvXE,I'll Never Go,Erik Santos,17912
2017-04-28,85,2meEAmZCXr2dud0RRYyfZt,Kaibigan Mo,Sarah Geronimo,32217
2017-04-28,94,3DXncPQOG4VBw3QHh3S817,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,29237
2017-05-19,190,6wp2nSBcuEdZYkEA1g4KHQ,Stay,Claudia,18624
2017-06-03,159,0AZjL7QqObm13VxPA078uz,"Tag-ulan (Original Soundtrack of ""Luck At First Sight"")",Thyro,20232
2017-06-20,199,7IqUmDJ2GjaOqrzDCXhrV5,Ipagpatawad Mo,Mayonnaise,17498
2017-07-04,183,6OeirQ9nVW9zOUkb4QXjxV,Simpleng Tulad Mo,Daniel Padilla,19421
2017-07-21,73,7F9vK8hNFMml4GtHsaXui6,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,41056
2017-08-12,127,3gyEt1vswIEbpQqBs18Lha,Harana,Parokya Ni Edgar,23733
2017-08-19,189,2Vsetr5viGzrHDkC222PAT,I Need You More Today,Caleb Santos,18857
2017-08-22,176,2vVW17crZs4KInids0h9SE,241 (My Favorite Song),Rivermaya,21360
2017-08-27,199,1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),Daniel Caesar,16965
2017-09-18,127,7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,27167
2017-11-09,182,3YQp6N0vdiLEhpqKjRcN2L,Hayaan Mo Sila (Inspired by I'm the One),Ex Battalion,20061
2017-11-26,167,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,20310
2017-12-02,186,4UgtdWy4dm7vMVIupUbtMm,Huling Sayaw - Acoustic,Kamikazee,19021
2017-12-15,190,7rrVN7f83kwaz2sGxoFnJY,Christmas in Our Hearts,Jose Mari Chan,18991
2017-12-15,197,5sLGYJOhLP197nmkaRMMEH,Ngayong Gabi,Al James,18765
2017-12-16,197,6h7bFD49c3lN9uLDxhy2RW,Sana Ngayong Pasko,Lea Salonga,18159
2017-12-17,181,3WUEs51GpcvlgU7lehLgLh,Kathang Isip,Ben&Ben,18766
2017-12-23,148,6PJ2glrMHEZKqc3kqIB7Vz,Star Ng Pasko,Aiza Seguerra,22340
2017-12-24,101,0EkPuwTCZxRPpOHT4AvGgE,"Thank You, Ang Babait Ninyo",Lyca Gairanod,37254
2017-12-24,113,6z4xX7Yv04TvNYb73YyCUK,Little Drummer Boy,Alisah Bonaobra,34245
2017-12-24,135,6LivYvzWanzTQm8Tm3aTsa,Pasko Na Sinta Ko,Gary Valenciano,28896
2017-12-24,137,0gBc4Ksp2LSHbGTa1jBKTO,Angels We Have Heard on High,Acapellago,28796
2017-12-24,157,0KaUTLgQTHW0hIRi9vuPEF,Christmas Bonus,Aegis,25399
2017-12-27,195,0qt9ivU6UEP3YdNUiZsnYR,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack",Darren Espanto,19531
2018-01-09,194,5UhpceEr5XmbVwyoIUIRnh,Hanggang Kailan - Umuwi Ka Na Baby,Orange & Lemons,21016
2018-01-11,84,5hCJIUsAqjKFlvKrvCcUIb,Need You,Bosx1ne,39011
2018-01-11,167,42pSuQfjbOQ63EoBjEjWQQ,Di Ako Fuckboy (feat. Agsunta),John Roa,23501
2018-01-12,198,630sXRhIcfwr2e4RdNtjKN,Rewrite The Stars,Zac Efron,20867
2018-01-14,163,20PUUNHvpjjPh92Q6x0DC4,Cebuana,Karencitta,21645
2018-01-19,181,6LJ1p1h5EcMK4VPeCLDSoF,Nadarang,Shanti Dope,21580
2018-02-03,192,5RFHiLHCt7dDgKfCAdD5vj,Hey Barbara,IV Of Spades,20771
2018-02-18,198,00mBzIWv5gHOYxwuEJXjOG,Sa Ngalan Ng Pag-Ibig,December Avenue,19655
2018-02-25,7,2ARqIya5NAuvFVHSN3bL0m,The Middle,Zedd,131936
2018-03-11,176,0mUfY2PdHs57EG15zj1dRj,Laro,Autotelic,20387
2018-04-19,198,5YLHLxoZsodDWjqSgjhBf3,Myself,Bazzi,21494
2018-04-30,183,2RzdvVrhZdoa3PyrU0NTLp,Nadarang - Campfire Mix,Kyle Juliano,20903
2018-05-31,139,3VQb0rq27GPX92X53Ni1Lc,'Di Na Muli,Janine Teñoso,27266
2018-06-02,200,00bAw28lKcHj3B94a1wJle,Say You Won’t Let Go,Chlara,19285
2018-06-11,80,0rkML0CSX3wteVwUh5cspv,'Di Na Muli,The Itchyworms,36306
2018-06-29,190,5wZvVKUYvXjvUarvPCyqhk,Lumalapit,The Juans,24037
2018-07-03,59,69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,Calum Scott,46072
2018-07-03,95,6brl7bwOHmGFkNw3MBqssT,So Sick,Ne-Yo,35301
2018-07-08,178,4SjPJxsczdVx2Wafi5mT0J,Rewrite the Stars,Joseph Vincent,21239
2018-07-21,187,0HQnJee8ShSDu2AYwibxst,Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,20264
2018-07-22,155,1X4l4i472kW5ofFP8Xo0x0,Sana,I Belong to the Zoo,21983
2018-08-05,184,2Gh039ZAfydrM5IjiGlvEj,Akala,Marion Aunor,21430
2018-08-07,190,2OqQDFY4MgzkAoAZ67CscA,Sundo,Imago,22937
2018-08-11,200,2PTQBDNpLnjix9Dsa33d8l,Tuloy Pa Rin,Nyoy Volante,19939
2018-08-14,119,637uCaC8im9B7Pe2O2Z53w,Sino,Unique Salonga,30817
2018-08-16,11,2BgEsaKNfHUdlh97KmvFyo,2002,Anne-Marie,127046
2018-09-08,197,5ubwXXOsH9bUhZsQ0Cybha,Level Up,Ciara,20125
2018-09-09,183,06cUybZMETs4i3yQO1f7p3,Weak,Khel Pangilinan,21183
2018-09-19,200,35o9a4iAfLl5jRmqMX9c1D,Shape of My Heart,Backstreet Boys,21014
2018-09-27,132,6sl4KzZ9PRb8xTzjYIrHAP,Someday,Leanne & Naara,27784
2018-09-28,185,5f9808hpiCpuNyqqdXmpF2,Buwan,juan karlos,22204
2018-09-30,196,5V2AX2WTOHl2FKtftvisV6,Kahit Ayaw Mo Na,This Band,20232
2018-10-08,192,5WJOCn5Mkzb9fNT6jh1ktg,Magbalik,Drei Rana,22247
2018-10-09,195,32FQqB67FkHkFSeXnuSYV0,"All Tonight - From ""Exes Baggage""",Midnight Meetings,22609
2018-10-10,190,7tYjXd42SzEhrWEFQeZxNm,Simula Pa Nung Una,Patch Quiwa,22874
2018-11-22,162,6aqH1me0AcXPwJEAflvNoT,Unan,Because,25396
2018-12-16,197,0aEX0skifH9CAc8HXxShqk,Maikee's Letters,Just Hush,20217
2018-12-17,194,267RumTt5KeLBGl2KWxBL0,Dating Tayo,TJ Monterde,19496
2018-12-24,83,6r5vsI0vAYxFXuL6wooznb,Last Christmas,Nef Medina,49867
2018-12-24,102,21gCZq4O38rQM60BW1TsvF,Tanging Hiling Ngayong Pasko,Kithara,39523
2018-12-24,135,78ylzQxu8Ht3gbFq5hI9Vo,Have Yourself a Merry Little Christmas,Tres Hermanas,32118
2018-12-24,148,2TMwa7JqgnTxo6koLACzjh,Sana Ngayong Pasko,Ariel Rivera,30880
2018-12-24,169,4lelBtLnt1mEfH6MlVp5yG,Pangako sa Pasko,Cocoy Claravall,28234
2018-12-26,196,6fWTVk29yvFEqE5VY6Gslk,Dalaga,ALLMO$T,20130
2018-12-30,175,2tzAN1L07SNwnOdgOEeuQr,Pauwi Nako,PDL,19520
2019-02-08,115,0Fh6hgq979963fIxr2VBF2,"214 - From ""Alone/Together""",JM De Guzman,34506
2019-02-08,162,18uwL0vNUanqZH0ro2QcOP,comethru,Jeremy Zucker,28248
2019-02-18,154,02GtNoUv85fOPEaCTlpYzr,"Kapit (From ""Alone / Together"")",Armi Millare,28566
2019-02-22,169,0HYmOF3tCkYejosr1HTMhV,Filipina Girl,Billy Crawford,27839
2019-03-23,198,31vGGETvC1zlvuhNumTYZB,Kontrabida,Pricetagg,22190
2019-04-12,4,5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),BTS,214510
2019-04-12,168,2KoWHNtJrbE0WxWfQjYjyu,Urong Sulong,Alisson Shore,26787
2019-05-02,200,5T8bLnWG8sg9ER8RKNZbCB,Before I Let You Go,Freestyle,23462
2019-05-05,161,3vGkyQlCw8LklNip0ZUELC,Nobela,Join The Club,23395
2019-05-10,179,5dE2M9Q15O1JMeOODNNgIm,"Bat Ngayon?, Pt.1",CLR,25550
2019-05-11,153,2kRjoaqiyeS0Faus5wKztH,Ikaw Lang,Kiyo,24855
2019-05-17,84,33NwLcrJHLbENMoDeAPUNi,Bagong Umaga,Agsunta,38496
2019-05-22,123,46n2EGFnPC3tzWCN1Aqe26,This I Promise You,*NSYNC,31018
2019-07-07,199,1TU0pwihuwk0RkgwHtuy71,Walwal,VVS Collective,21099
2019-07-10,139,3iZB3VUDerY5P96rhBKwKr,Dalaga,Arvey,30920
2019-07-12,183,39fwy7Q1spclVNFeu64lgd,Walang Gana,King Badger,25904
2019-07-22,194,51Fjme0JiitpyXKuyQiCDo,Lalala,Y2K,23494
2019-07-27,191,6jZBYN0CFwshqb6i3m4HOL,Rawstarr 'Til I Die,Psychedelic Boyz,23819
2019-08-02,174,6IdEQ3HUseBeRUYFSzSMdL,Zebbiana,Skusta Clee,26536
2019-08-16,11,0bzbvANY6oETSJLc0wlVGY,Lover,Taylor Swift,143669
2019-08-24,182,0airDlKC7gQNcooMHyIydT,Fly You to the Moon,Justin Vasquez,23447
2019-08-24,183,19AlSgwI1midC2PU1TDkeF,Pekeng Kaibigan,Geo Ong,23443
2019-09-15,189,65sEZZaxTjLMD8vNgPoMz5,Imahe,Magnus Haven,24172
2019-09-20,77,2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,45538
2019-10-04,68,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,49480
2019-10-11,200,2tR5liucorXRwduxr0qEx6,Binalewala - Original Version,Michael Dutchi Libranda,25500
2019-10-19,189,0BaMZMMEG7GWrUYsoGw8Yg,Neneng B,Nik Makino,25008
2019-10-30,119,1Av69kr9JitqPWo7WJLS5q,Can We Kiss Forever?,Kina,37281
2019-11-01,47,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,68888
2019-11-15,49,696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,72855
2019-11-22,164,7n7mTiptQT1iNa7rMhcZS8,"A Perfect Christmas - Recorded at OnQ Studios, Manila",Tatak Pinoy All-Stars,28398
2019-11-23,147,5jLUKFlEJzOf6b6PCaohFI,I Want You Back,Matthaios,28990
2019-11-24,163,6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,Tyga,26583
2019-11-29,188,4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,25846
2019-12-24,152,2H4c5V0oIfPxuYLBTiUon4,Magkasama tayo sa Kwento ng Pasko - Abs-CBN 2013 Christmas Station Id,ABS-CBN Music All Star,35850
2020-01-03,18,41L3O37CECZt3N7ziG2z7l,Yummy,Justin Bieber,138369
2020-01-12,198,2JoZzpdeP2G6Csfdq5aLXP,How Deep Is Your Love,Bee Gees,21822
2020-01-17,199,5bSvsXRBUjGe8pGScU0hPz,Ivana,Soulstice,25915
2020-02-07,195,25oOaleife6E2MIKmFkPvg,Relationship (feat. Future),Young Thug,28495
2020-02-08,181,0P6AWOA4LG1XOctzaVu5tt,The Weekend - Funk Wav Remix,SZA,28295
2020-02-15,146,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu,32192
2020-02-19,188,1x7DysraeqSgVgj95hHc3U,Araw-Araw Love,Flow G,29821
2020-02-22,167,6XXYdF6pJR1K3wKvuxmu7n,Feel Me,Selena Gomez,31975
2020-03-05,171,1x8pFCRfBnDqckyB6mlZci,Titig,MC Einstein,32149
2020-03-16,186,4EivmOT13NMpNSfTKn9p4s,Like That (feat. Gucci Mane),Doja Cat,23627
2020-03-19,194,5Mw9bXG1dLNhbjofkVS2oR,Oceans (Where Feet May Fail),Hillsong UNITED,22320
2020-03-22,175,6SFeCisbYSqaQwL9hucoF2,You Decorated My Life,Kenny Rogers,21179
2020-03-24,163,7CHi4DtfK4heMlQaudCuHK,Lose Control,MEDUZA,24157
2020-03-24,182,3R6Hl2e7hAyCfofRRToKAo,Malayo Ka Man,Jr Crown,22447
2020-03-26,107,47UUjZbqZjcrzELnFBB1Ht,Teka Lang,Emman,28822
2020-03-26,108,55CHeLEfn5iJ0IIkgaa4si,Savage,Megan Thee Stallion,28666
2020-03-27,189,62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),Surf Mesa,22652
2020-04-03,53,127QTOFJsJQp5LbJbu3A1y,Toosie Slide,Drake,49797
2020-04-10,166,5VUQsLff8A3ruAyCdTxqzg,Who Am I,Casting Crowns,19929
2020-04-30,199,47nJrlVeOWNEI4hppa7ha9,Passenger Seat,Stephen Speaks,21336
2020-05-01,7,4kS01K2URu522IomkGOFHl,Beautiful Scars,Maximillian,123570
2020-05-07,141,5gtV3gSgfX1exeKgeceHR0,Bisayang Gwapito,Brian Pepito,26486
2020-05-08,187,6WtBVDL02RRvWlvzF4sjE9,Cutie Uyyy,Soulthrll,22646
2020-05-10,195,37IyluB7MO8TMJGSf4h4dz,Alapaap / Overdrive,Tanya Manalang,19809
2020-05-13,76,7lHFF2y9Sv3ILZGr3isbD1,Ang Huling El Bimbo,Gian Magdangal,38480
2020-05-22,1,24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),Lady Gaga,228558
2020-05-24,144,0yRXPoZx4gkGUYDqNwEGOM,Marikit,Juan Caoile,24645
2020-05-24,173,1pi3VCMlGVaXvrjlVOkBPN,KLWKN,Music Hero,22713
2020-06-05,134,63qA4ydokzNOFpsaNlsYsC,Higa,Arthur Nery,28621
2020-06-13,177,0dZpw3h6KZhcHec61qwevZ,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,23123
2020-06-17,166,55XlSI5d8hMVoNjVkpQpT7,Malayo,Ace Banzuelo,26183
2020-06-19,183,6r7sdXUiKjgEx3I8GQRpSq,Chinita Girl,Lil Vinceyy,25390
2020-06-26,1,6y6k14YN6MbKpGIv1Rk00Q,How You Like That,BLACKPINK,401201
2020-07-01,102,1NzRZ7AosK7ZDumMsZYofo,Just Friends,Audrey Mika,33055
2020-07-02,94,25agDEpgr54nRvyQJHmNmR,Di Biro,Jana Garcia,34620
2020-07-03,157,1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,Chris Brown,26990
2020-07-08,146,3CsC4l3gWDE5bgtcU57v8F,Pac-Man,Michael Bars,28592
2020-07-12,100,6qCDsNEOnQ6uPG7m8gWUkW,"I Will Be Here (Original Soundtrack from the movie ""Through Night And Day"")",Alessandra De Rossi,30138
2020-07-15,184,1Z0sOoWABNbbiadSEea2z9,I,Twenty-Nine Eleven,25950
2020-07-31,95,2WUhR1SraSy0SVIQKohJb6,Hanggang Sa Huli,SB19,36761
2020-08-08,94,4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),Cardi B,34418
2020-08-14,127,6ZfXA2xakAvphXOSOJ3u1W,When I Look At You,Miley Cyrus,31552
2020-08-16,164,5PjjypAmfFPp5Axknx5mJ9,Can't Get Out,Jem Macatuno,25234
2020-08-16,196,0knRQzgvbUed6K74mX81hG,Kabilang Buhay,Bandang Lapis,22857
2020-08-26,173,3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),24kGoldn,27498
2020-08-30,191,2vvN4MMtdLNQSgYsbLYmp3,Senorita,DJ Noiz,23446
2020-08-31,198,59qrUpoplZxbIZxk6X0Bm3,Take You Dancing,Jason Derulo,24734
2020-09-01,192,4enEJGj42a9Nk9Gh7DNhWL,Let Me Be The One,Jimmy Bondoc,26782
2020-09-05,185,0ri0Han4IRJhzvERHOZTMr,At My Worst,Pink Sweat$,24926
2020-09-06,171,7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,salem ilese,24660
2020-09-08,116,4lsHZ92XCFOQfzJFBTluk8,You Got It,Vedo,34155
2020-09-10,144,3NFxEhW0A38HCoadVBhwew,Waterfalls,Julian Sean,31429
2020-09-12,178,4G7uzhxgKFBCJApBpuuBgU,Kabet,Gagong Rapper,26486
2020-09-16,196,32L3JmBCqHyvM16zyTcGVQ,Sulyap,Jom,26791
2020-09-21,150,5hvwx5i67IwnCkjl9VHkNv,Diamonds,Sam Smith,29947
2020-09-25,142,1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,32128
2020-09-28,95,1OrPpim6Gl4rmRrHlyUjCn,Ulap,Rob Deniel,37975
2020-10-02,19,4TgxFMOn5yoESW6zCidCXL,Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,137414
2020-10-09,163,0wUSZjJVblGKntOqBSWMdo,Bawat Daan,Ebe Dancel,31689
2020-10-28,98,28xX6K8LnkZve4RiuEB3iK,Sweet Melody,Little Mix,41896
2020-10-30,1,35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,301973
2020-11-21,160,3us3yACYidjyZwm9to0czY,Magandang Dilag,JM Bales,30312
2020-12-31,187,6Pgmqg15yVexuOgtzuxwoX,Dancing in My Room,347aidan,34455
2021-01-09,88,7lPN2DXiMsVn7XUKtOW1CS,drivers license,Olivia Rodrigo,43726
