index,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,predicted_genre_id,predicted_genre_prob,predicted_genre,classification_probability
46,7nsiWbURKfKq1IVtS3b2Yy,Ain't Nothin' Gonna Keep Me From You,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,288186,2008-05-06,23,0.635,0.23,2,-13.469,1,0.0394,0.886,0.00367,0.107,0.509,109.058,7nsiWbURKfKq1IVtS3b2Yy,7nsiWbURKfKq1IVtS3b2Yy,3,0.9954053163528442,Acoustic,99.54053163528442%
52,4UbeLhCrFKH3Krh0o4sH8W,What's Forever For,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,228800,2008-05-06,19,0.486,0.258,0,-12.021,1,0.0506,0.938,0.000347,0.0752,0.397,78.882,4UbeLhCrFKH3Krh0o4sH8W,4UbeLhCrFKH3Krh0o4sH8W,3,0.9911309480667114,Acoustic,99.11309480667114%
56,4y8KJSy4R3dIwVWHHMt1lf,Dreaming of You,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,246573,2008-05-06,23,0.569,0.249,7,-12.0,1,0.0476,0.873,0.000326,0.131,0.491,78.656,4y8KJSy4R3dIwVWHHMt1lf,4y8KJSy4R3dIwVWHHMt1lf,3,0.9902576208114624,Acoustic,99.02576208114624%
11,7JIGvuVUQEzaWdDQglFP0S,Bukas Na Lang Kita Mamahalin,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,254986,2012-01-01,21,0.575,0.203,9,-11.202,1,0.0374,0.909,0.0159,0.102,0.156,75.028,7JIGvuVUQEzaWdDQglFP0S,7JIGvuVUQEzaWdDQglFP0S,3,0.9878464341163635,Acoustic,98.78464341163635%
37,2J0Ovh75YIhRGHHTLapTJJ,You Left Me,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,243480,2008-08-09,2,0.374,0.249,9,-14.421,1,0.0441,0.847,0.0191,0.104,0.34,154.851,2J0Ovh75YIhRGHHTLapTJJ,2J0Ovh75YIhRGHHTLapTJJ,3,0.9836065769195557,Acoustic,98.36065769195557%
44,3MYfcVRTLqo7t3ra4DqFRn,Ama Namin,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,113640,2008-08-09,10,0.0,0.118,7,-18.597,1,0.0,0.933,0.000836,0.115,0.0,0.0,3MYfcVRTLqo7t3ra4DqFRn,3MYfcVRTLqo7t3ra4DqFRn,1,0.9806088805198669,Classical,98.0608880519867%
258,1dlWeMu46MOMYWpbT7y8RA,Kahit Maputi Na Ang Buhok Ko,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,45cXjqi3VW5dVg8cvB9gJa,197786,2013-01-01,40,0.445,0.192,7,-12.228,1,0.0395,0.881,0.00287,0.105,0.336,209.049,1dlWeMu46MOMYWpbT7y8RA,1dlWeMu46MOMYWpbT7y8RA,3,0.975369393825531,Acoustic,97.5369393825531%
26,5J06HsKAN81PNBWZwZgUQY,Someday,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,236960,2010-01-01,21,0.447,0.12,8,-16.17,1,0.0428,0.909,0.00756,0.109,0.267,134.237,5J06HsKAN81PNBWZwZgUQY,5J06HsKAN81PNBWZwZgUQY,3,0.9727420210838318,Acoustic,97.27420210838318%
72,79cNKZg5oo2FHmnj99K8rQ,Pieces of My Life,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2Gxsv9XrzRkrjexEWWaxaH,291830,2019-04-11,0,0.298,0.213,9,-11.79,1,0.0421,0.929,0.000194,0.106,0.348,175.989,79cNKZg5oo2FHmnj99K8rQ,79cNKZg5oo2FHmnj99K8rQ,3,0.9711763858795166,Acoustic,97.11763858795166%
50,2smAMdY3pGZPVw0aWAfEzD,I Will,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,163400,2008-05-06,26,0.646,0.273,2,-12.076,1,0.0382,0.888,0.0258,0.104,0.298,98.159,2smAMdY3pGZPVw0aWAfEzD,2smAMdY3pGZPVw0aWAfEzD,3,0.959990382194519,Acoustic,95.9990382194519%
28,17Af5eAqoLqnDBdTe98kP7,So Hard to Let Go,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,279080,2010-01-01,8,0.498,0.291,5,-11.508,1,0.0336,0.713,0.000123,0.242,0.239,141.862,17Af5eAqoLqnDBdTe98kP7,17Af5eAqoLqnDBdTe98kP7,3,0.9564827084541321,Acoustic,95.64827084541321%
74,102D0kplUrZY83Bx1J0DnG,God Gave Me You,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,40nVV6Eltyi1Hs6UjYW4RL,267560,2012-01-01,31,0.471,0.363,7,-9.452,1,0.0273,0.716,0.0,0.107,0.305,77.005,102D0kplUrZY83Bx1J0DnG,102D0kplUrZY83Bx1J0DnG,3,0.9553249478340149,Acoustic,95.53249478340149%
34,42pN2SjDx0iCDLvI115u8e,Ha?,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,289173,2008-08-09,15,0.59,0.327,5,-10.564,1,0.0435,0.76,0.00911,0.236,0.337,75.116,42pN2SjDx0iCDLvI115u8e,42pN2SjDx0iCDLvI115u8e,3,0.9528382420539856,Acoustic,95.28382420539856%
55,1vjdKdp3P8QKfbrb0eUljJ,The One You Love,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,276893,2008-05-06,29,0.556,0.301,2,-12.87,1,0.0336,0.869,0.0762,0.115,0.338,143.21,1vjdKdp3P8QKfbrb0eUljJ,1vjdKdp3P8QKfbrb0eUljJ,3,0.9527238607406616,Acoustic,95.27238607406616%
25,3l2Wyag6NGCud0v9U9knzI,Time Machine,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,265293,2010-01-01,11,0.493,0.437,9,-8.933,0,0.0396,0.809,0.000132,0.366,0.33,76.813,3l2Wyag6NGCud0v9U9knzI,3l2Wyag6NGCud0v9U9knzI,3,0.9490746855735779,Acoustic,94.90746855735779%
39,4K72z15Bbt6153FyQYOpH0,Without You,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,299493,2008-08-09,8,0.618,0.315,2,-12.196,1,0.0357,0.635,0.0102,0.114,0.359,78.345,4K72z15Bbt6153FyQYOpH0,4K72z15Bbt6153FyQYOpH0,3,0.9488999843597412,Acoustic,94.88999843597412%
1,33pHgWjuAXvmE6Z9b51avt,Bakit Ba Ganyan,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,312293,2012-01-01,25,0.579,0.292,11,-8.784,1,0.0298,0.86,0.00911,0.129,0.245,140.024,33pHgWjuAXvmE6Z9b51avt,33pHgWjuAXvmE6Z9b51avt,3,0.94364333152771,Acoustic,94.364333152771%
63,4wt6antGdiSjTZWoyLVibi,Sweetest Sugar,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4EQ7a4ztLVN5OUgxJJVIxY,225120,2002-06-01,1,0.655,0.65,9,-7.015,1,0.0237,0.056,0.0,0.126,0.607,96.063,4wt6antGdiSjTZWoyLVibi,4wt6antGdiSjTZWoyLVibi,5,0.9397876262664795,Rock,93.97876262664795%
51,62ef7BBjl7eRL2eUwZJP9i,No More Lonely Nights,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,220986,2008-05-06,26,0.384,0.343,2,-11.484,1,0.0478,0.875,0.00472,0.109,0.293,177.276,62ef7BBjl7eRL2eUwZJP9i,62ef7BBjl7eRL2eUwZJP9i,3,0.9394887089729309,Acoustic,93.94887089729309%
10,38yZBKFHK1OgXg7VXu7olm,Basta't Kasama Kita,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,255040,2012-01-01,29,0.455,0.281,3,-9.234,1,0.0397,0.889,0.00118,0.148,0.329,133.939,38yZBKFHK1OgXg7VXu7olm,38yZBKFHK1OgXg7VXu7olm,3,0.9388949871063232,Acoustic,93.88949871063232%
33,2Tb7CIZYfFjA1KbxKUUTuF,One Look,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,381400,2010-01-01,3,0.435,0.226,9,-12.661,1,0.0424,0.817,0.00332,0.103,0.185,149.276,2Tb7CIZYfFjA1KbxKUUTuF,2Tb7CIZYfFjA1KbxKUUTuF,3,0.9382007718086243,Acoustic,93.82007718086243%
40,5QFoMfKZzE7ALV2IOugoCs,Ayoko Na,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,274826,2008-08-09,3,0.515,0.363,4,-11.656,1,0.0427,0.634,0.038,0.118,0.311,149.359,5QFoMfKZzE7ALV2IOugoCs,5QFoMfKZzE7ALV2IOugoCs,3,0.933030366897583,Acoustic,93.3030366897583%
4,23kb0nomnO71oLqw7Okj3T,Magkasuyo Buong Gabi,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,235226,2012-01-01,21,0.524,0.43,7,-8.917,1,0.053,0.847,0.00145,0.138,0.533,108.331,23kb0nomnO71oLqw7Okj3T,23kb0nomnO71oLqw7Okj3T,3,0.9310650825500488,Acoustic,93.10650825500488%
48,3KbqbLxwSwFNV0ZTnzAeM9,(They Long To Be) Close To You,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,184200,2008-05-06,22,0.534,0.369,8,-10.704,1,0.0448,0.896,0.0324,0.098,0.242,80.815,3KbqbLxwSwFNV0ZTnzAeM9,3KbqbLxwSwFNV0ZTnzAeM9,3,0.928848147392273,Acoustic,92.8848147392273%
47,3fctzxwfAkILwVfyxAViAI,You're Not Mine,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,187293,2008-05-06,14,0.591,0.255,4,-13.486,1,0.0344,0.901,0.287,0.111,0.255,105.858,3fctzxwfAkILwVfyxAViAI,3fctzxwfAkILwVfyxAViAI,3,0.9255027770996094,Acoustic,92.55027770996094%
5,5iiywmGbNU62D0QAKN9tdu,Nandito Ako,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,270586,2012-01-01,23,0.647,0.0856,4,-19.046,1,0.0544,0.902,0.0066,0.107,0.421,139.906,5iiywmGbNU62D0QAKN9tdu,5iiywmGbNU62D0QAKN9tdu,3,0.9233971834182739,Acoustic,92.33971834182739%
133,4Ryh60ix5LXFscageTqwGN,God Gave Me You - Acoustic,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,3x8JjOYWv1IA85NRDC5k4c,265840,2016-09-16,7,0.477,0.392,7,-8.271,1,0.0272,0.688,1.99e-06,0.125,0.293,77.073,4Ryh60ix5LXFscageTqwGN,4Ryh60ix5LXFscageTqwGN,3,0.9187580943107605,Acoustic,91.87580943107605%
8,7czG9HV8a9oTjzoXqfos8Q,Sana Dalawa Ang Puso Ko,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,287546,2012-01-01,19,0.687,0.455,2,-8.18,1,0.0264,0.673,0.000175,0.532,0.229,130.196,7czG9HV8a9oTjzoXqfos8Q,7czG9HV8a9oTjzoXqfos8Q,3,0.9139218330383301,Acoustic,91.39218330383301%
38,6XazyhArhUJqpYxhuhQJvN,Mahal na mahal,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,215520,2008-08-09,9,0.537,0.268,0,-13.038,1,0.0369,0.779,0.187,0.106,0.167,77.366,6XazyhArhUJqpYxhuhQJvN,6XazyhArhUJqpYxhuhQJvN,3,0.9096571207046509,Acoustic,90.96571207046509%
43,3CkKSV0BzTV0fUkCIVaArq,Baby Stay,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,216013,2008-08-09,2,0.473,0.105,7,-21.164,1,0.0639,0.854,0.0264,0.108,0.196,145.268,3CkKSV0BzTV0fUkCIVaArq,3CkKSV0BzTV0fUkCIVaArq,3,0.9031722545623779,Acoustic,90.3172254562378%
29,0Vb4bx3WLXa047jchCForj,Forever,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,277426,2010-01-01,3,0.548,0.349,9,-9.772,1,0.03,0.874,0.000136,0.224,0.318,140.07,0Vb4bx3WLXa047jchCForj,0Vb4bx3WLXa047jchCForj,3,0.8917938470840454,Acoustic,89.17938470840454%
45,7qUHGajuvmhnCddQjuNK6N,Because,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,263653,2008-05-06,17,0.681,0.417,7,-12.276,1,0.034,0.746,0.283,0.112,0.315,101.102,7qUHGajuvmhnCddQjuNK6N,7qUHGajuvmhnCddQjuNK6N,3,0.8897992372512817,Acoustic,88.97992372512817%
31,0nzRT8xrPJNSwxsi3tYVMq,Walang Hanggan,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,274986,2010-01-01,8,0.453,0.338,4,-11.074,1,0.0405,0.849,9.83e-05,0.126,0.185,144.879,0nzRT8xrPJNSwxsi3tYVMq,0nzRT8xrPJNSwxsi3tYVMq,3,0.8871748447418213,Acoustic,88.71748447418213%
41,4urR4TMtkPIY1qgbDs91EQ,Maghihintay,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,252813,2008-08-09,3,0.753,0.281,9,-17.929,1,0.0478,0.717,0.413,0.17,0.799,121.609,4urR4TMtkPIY1qgbDs91EQ,4urR4TMtkPIY1qgbDs91EQ,3,0.8862029314041138,Acoustic,88.62029314041138%
49,7aLUT8YPqXMZl1JUJh2ffv,First of May,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,173253,2008-05-06,15,0.479,0.216,2,-11.985,1,0.0457,0.911,0.091,0.126,0.191,139.32,7aLUT8YPqXMZl1JUJh2ffv,7aLUT8YPqXMZl1JUJh2ffv,3,0.8849902153015137,Acoustic,88.49902153015137%
19,0fKIYcJD3mYvgAIYZrVn8h,Kamakailan Lang - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,316426,2012-01-01,1,0.627,0.552,9,-8.376,1,0.0337,0.724,0.941,0.0536,0.616,145.977,0fKIYcJD3mYvgAIYZrVn8h,0fKIYcJD3mYvgAIYZrVn8h,3,0.8687992691993713,Acoustic,86.87992691993713%
18,5Keg4HiBjG3LZBtwkxUOed,Sa Isip Ko - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,215213,2012-01-01,1,0.615,0.341,0,-11.684,1,0.0339,0.282,0.854,0.179,0.45,171.937,5Keg4HiBjG3LZBtwkxUOed,5Keg4HiBjG3LZBtwkxUOed,3,0.8652494549751282,Acoustic,86.52494549751282%
73,6m9YKCOZpdkLzPqUwCM9ha,Chosen,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,6wh0T0S950yhOVVT6kJjm2,313541,2018-05-08,8,0.57,0.714,4,-7.664,1,0.038,0.16,0.0,0.12,0.449,130.058,6m9YKCOZpdkLzPqUwCM9ha,6m9YKCOZpdkLzPqUwCM9ha,5,0.8463549613952637,Rock,84.63549613952637%
32,7e3sUBFnAqGER5GTn0LrJx,Tuloy Tuloy Pa Rin,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,265720,2010-01-01,6,0.475,0.41,9,-9.505,1,0.0376,0.869,0.0567,0.121,0.332,97.703,7e3sUBFnAqGER5GTn0LrJx,7e3sUBFnAqGER5GTn0LrJx,3,0.8441748023033142,Acoustic,84.41748023033142%
6,55KhQcERGBQbDb01bWMnJN,Sa Isip Ko,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,215240,2012-01-01,20,0.597,0.38,0,-9.845,1,0.0298,0.594,0.0729,0.133,0.419,171.861,55KhQcERGBQbDb01bWMnJN,55KhQcERGBQbDb01bWMnJN,3,0.8421980142593384,Acoustic,84.21980142593384%
449,3ocvog3yBMh38dGNxg9GyJ,Sana Ay Ikaw Na Nga,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,3ebxSivbFn0Of77GNejYdQ,206426,2010-06-07,1,0.428,0.179,11,-16.558,1,0.0452,0.615,0.00443,0.105,0.189,140.353,3ocvog3yBMh38dGNxg9GyJ,3ocvog3yBMh38dGNxg9GyJ,3,0.8343011736869812,Acoustic,83.43011736869812%
